token,category_id,category
compassion,1,care.virtue
empathy,1,care.virtue
kindness,1,care.virtue
caring,1,care.virtue
generosity,1,care.virtue
benevolence,1,care.virtue
altruism,1,care.virtue
compassionate,1,care.virtue
nurture,1,care.virtue
gentleness,1,care.virtue
nurturance,1,care.virtue
sympathy,1,care.virtue
nurturing,1,care.virtue
motherly,1,care.virtue
love,1,care.virtue
beneficence,1,care.virtue
empathize,1,care.virtue
helpfulness,1,care.virtue
loving,1,care.virtue
pity,1,care.virtue
mercy,1,care.virtue
nurturer,1,care.virtue
compassionately,1,care.virtue
nurturers,1,care.virtue
caringly,1,care.virtue
empathising,1,care.virtue
merciful,1,care.virtue
empathizing,1,care.virtue
nurtures,1,care.virtue
warmhearted,1,care.virtue
empathizers,1,care.virtue
protectiveness,1,care.virtue
nurtured,1,care.virtue
benevolent,1,care.virtue
mothering,1,care.virtue
cared,1,care.virtue
healing,1,care.virtue
empathises,1,care.virtue
humane,1,care.virtue
comfort,1,care.virtue
pitied,1,care.virtue
loved,1,care.virtue
altruist,1,care.virtue
cares,1,care.virtue
pitying,1,care.virtue
comforted,1,care.virtue
hug,1,care.virtue
comforting,1,care.virtue
consoling,1,care.virtue
empathizes,1,care.virtue
sympathize,1,care.virtue
care,1,care.virtue
caregiver,1,care.virtue
empathised,1,care.virtue
hugs,1,care.virtue
heal,1,care.virtue
generous,1,care.virtue
condolences,1,care.virtue
mothered,1,care.virtue
charitable,1,care.virtue
generously,1,care.virtue
pities,1,care.virtue
condolence,1,care.virtue
help,1,care.virtue
consolingly,1,care.virtue
solace,1,care.virtue
mother,1,care.virtue
healer,1,care.virtue
hospitality,1,care.virtue
charity,1,care.virtue
empathized,1,care.virtue
healers,1,care.virtue
pityingly,1,care.virtue
mothers,1,care.virtue
child,1,care.virtue
lovingly,1,care.virtue
parenting,1,care.virtue
rescuing,1,care.virtue
rescuer,1,care.virtue
loves,1,care.virtue
consoled,1,care.virtue
clothe,1,care.virtue
sympathizing,1,care.virtue
helping,1,care.virtue
shared,1,care.virtue
childhood,1,care.virtue
mommy,1,care.virtue
vulnerability,1,care.virtue
helpers,1,care.virtue
lover,1,care.virtue
hospitable,1,care.virtue
sharer,1,care.virtue
feeding,1,care.virtue
nursed,1,care.virtue
helper,1,care.virtue
safeness,1,care.virtue
nurses,1,care.virtue
protector,1,care.virtue
motherhood,1,care.virtue
alleviation,1,care.virtue
nursemaid,1,care.virtue
safeguard,1,care.virtue
protect,1,care.virtue
healthiness,1,care.virtue
protecters,1,care.virtue
patient,1,care.virtue
nurse,1,care.virtue
vulnerable,1,care.virtue
benefit,1,care.virtue
feed,1,care.virtue
childcare,1,care.virtue
rescuers,1,care.virtue
hugged,1,care.virtue
helpful,1,care.virtue
rescues,1,care.virtue
nursing,1,care.virtue
protecting,1,care.virtue
heals,1,care.virtue
childbearing,1,care.virtue
hugger,1,care.virtue
relief,1,care.virtue
healed,1,care.virtue
rescued,1,care.virtue
patients,1,care.virtue
share,1,care.virtue
rescue,1,care.virtue
healthy,1,care.virtue
hospitalise,1,care.virtue
hospitalising,1,care.virtue
hugging,1,care.virtue
nursery,1,care.virtue
healthier,1,care.virtue
sharing,1,care.virtue
helps,1,care.virtue
sympathizers,1,care.virtue
hospitalises,1,care.virtue
alleviating,1,care.virtue
wounded,1,care.virtue
wounds,1,care.virtue
hospitalize,1,care.virtue
alleviate,1,care.virtue
protective,1,care.virtue
protection,1,care.virtue
health,1,care.virtue
relieve,1,care.virtue
sympathizer,1,care.virtue
safety,1,care.virtue
beneficiary,1,care.virtue
helped,1,care.virtue
hospital,1,care.virtue
childbirth,1,care.virtue
benefits,1,care.virtue
healthcare,1,care.virtue
relievers,1,care.virtue
feeds,1,care.virtue
hospitalization,1,care.virtue
benefitting,1,care.virtue
relieving,1,care.virtue
safe,1,care.virtue
feeder,1,care.virtue
benefitted,1,care.virtue
hospitalized,1,care.virtue
unharmful,1,care.virtue
protects,1,care.virtue
unharmed,1,care.virtue
protecter,1,care.virtue
safely,1,care.virtue
safekeeping,1,care.virtue
hospitalizing,1,care.virtue
wounding,1,care.virtue
reliever,1,care.virtue
shares,1,care.virtue
relieves,1,care.virtue
alleviates,1,care.virtue
relieved,1,care.virtue
hospitalizes,1,care.virtue
console,1,care.virtue
protectorate,1,care.virtue
alleviated,1,care.virtue
protected,1,care.virtue
wound,1,care.virtue
consoles,1,care.virtue
harm,2,care.vice
suffer,2,care.vice
hurt,2,care.vice
harmed,2,care.vice
hurting,2,care.vice
hurts,2,care.vice
cruel,2,care.vice
endanger,2,care.vice
harming,2,care.vice
harms,2,care.vice
suffering,2,care.vice
threaten,2,care.vice
inflict,2,care.vice
suffered,2,care.vice
harmful,2,care.vice
inflicted,2,care.vice
mistreat,2,care.vice
endangers,2,care.vice
damaging,2,care.vice
injurious,2,care.vice
victimize,2,care.vice
inflicts,2,care.vice
hurtful,2,care.vice
suffers,2,care.vice
inflicting,2,care.vice
injures,2,care.vice
vulnerable,2,care.vice
unkind,2,care.vice
damage,2,care.vice
kill,2,care.vice
die,2,care.vice
victimizes,2,care.vice
torment,2,care.vice
destroy,2,care.vice
brutalise,2,care.vice
brutalises,2,care.vice
distresses,2,care.vice
endangering,2,care.vice
mistreats,2,care.vice
afflict,2,care.vice
distressing,2,care.vice
destroys,2,care.vice
victimises,2,care.vice
maltreat,2,care.vice
pain,2,care.vice
harsh,2,care.vice
mistreated,2,care.vice
ravage,2,care.vice
threatened,2,care.vice
harass,2,care.vice
unkindness,2,care.vice
afflicted,2,care.vice
threatens,2,care.vice
threatening,2,care.vice
distress,2,care.vice
brutalize,2,care.vice
tormenting,2,care.vice
brutalized,2,care.vice
victimizing,2,care.vice
damager,2,care.vice
damaged,2,care.vice
bully,2,care.vice
agony,2,care.vice
abused,2,care.vice
coldhearted,2,care.vice
inhuman,2,care.vice
injured,2,care.vice
torments,2,care.vice
brutalizes,2,care.vice
uncompassionate,2,care.vice
cruelty,2,care.vice
tormented,2,care.vice
mistreating,2,care.vice
endangered,2,care.vice
uncaring,2,care.vice
anguishes,2,care.vice
destroying,2,care.vice
killed,2,care.vice
mistreatment,2,care.vice
bullied,2,care.vice
harsher,2,care.vice
cruelness,2,care.vice
tortured,2,care.vice
pained,2,care.vice
tortures,2,care.vice
torturing,2,care.vice
maltreated,2,care.vice
anguish,2,care.vice
persecutes,2,care.vice
maltreatment,2,care.vice
brutalizing,2,care.vice
attacked,2,care.vice
victim,2,care.vice
crying,2,care.vice
damages,2,care.vice
discomforting,2,care.vice
abusing,2,care.vice
threat,2,care.vice
persecute,2,care.vice
brutalization,2,care.vice
violent,2,care.vice
annihilated,2,care.vice
torturous,2,care.vice
harasses,2,care.vice
injurer,2,care.vice
destroyed,2,care.vice
molests,2,care.vice
molest,2,care.vice
injuring,2,care.vice
afflicts,2,care.vice
killing,2,care.vice
ache,2,care.vice
wounded,2,care.vice
persecuted,2,care.vice
ravages,2,care.vice
harassed,2,care.vice
exploited,2,care.vice
injury,2,care.vice
brutalisation,2,care.vice
discomfort,2,care.vice
unmerciful,2,care.vice
annihilate,2,care.vice
exploiters,2,care.vice
injurers,2,care.vice
destruction,2,care.vice
manhandle,2,care.vice
kills,2,care.vice
casualties,2,care.vice
maltreating,2,care.vice
victims,2,care.vice
harassing,2,care.vice
needier,2,care.vice
smother,2,care.vice
harassment,2,care.vice
smothers,2,care.vice
unhelpful,2,care.vice
agonize,2,care.vice
inhumanity,2,care.vice
duress,2,care.vice
victimization,2,care.vice
exploiting,2,care.vice
cried,2,care.vice
wounds,2,care.vice
wounding,2,care.vice
murderous,2,care.vice
ravaged,2,care.vice
uncaringly,2,care.vice
pains,2,care.vice
painfulness,2,care.vice
manhandles,2,care.vice
bullies,2,care.vice
assaulted,2,care.vice
uncharitable,2,care.vice
distressed,2,care.vice
persecution,2,care.vice
murdered,2,care.vice
ravaging,2,care.vice
discomforted,2,care.vice
exploitation,2,care.vice
torture,2,care.vice
murderers,2,care.vice
aches,2,care.vice
afflictions,2,care.vice
ungenerous,2,care.vice
victimizer,2,care.vice
agonizing,2,care.vice
paining,2,care.vice
persecuting,2,care.vice
exploit,2,care.vice
harassers,2,care.vice
malevolent,2,care.vice
stabs,2,care.vice
sorrowful,2,care.vice
assaults,2,care.vice
needy,2,care.vice
affliction,2,care.vice
cries,2,care.vice
fighting,2,care.vice
fight,2,care.vice
attack,2,care.vice
annihilates,2,care.vice
sorrow,2,care.vice
agonized,2,care.vice
assaulting,2,care.vice
inhospitable,2,care.vice
threats,2,care.vice
ached,2,care.vice
rapists,2,care.vice
abuser,2,care.vice
raped,2,care.vice
assassinates,2,care.vice
stabbed,2,care.vice
inhospitality,2,care.vice
annihilation,2,care.vice
punch,2,care.vice
harshness,2,care.vice
abusers,2,care.vice
killer,2,care.vice
sufferers,2,care.vice
victimizers,2,care.vice
smite,2,care.vice
killers,2,care.vice
discomforts,2,care.vice
fatalities,2,care.vice
molested,2,care.vice
brutality,2,care.vice
murdering,2,care.vice
torturer,2,care.vice
torturers,2,care.vice
fights,2,care.vice
harmfulness,2,care.vice
bullying,2,care.vice
casualty,2,care.vice
sufferer,2,care.vice
exploiter,2,care.vice
fatality,2,care.vice
punches,2,care.vice
abuses,2,care.vice
attacks,2,care.vice
vulnerability,2,care.vice
carnage,2,care.vice
tribulation,2,care.vice
annihilator,2,care.vice
smothering,2,care.vice
bullyboy,2,care.vice
murderer,2,care.vice
wound,2,care.vice
stabber,2,care.vice
tormenters,2,care.vice
malevolence,2,care.vice
raping,2,care.vice
smothered,2,care.vice
assault,2,care.vice
genocidal,2,care.vice
anguishing,2,care.vice
aching,2,care.vice
anguished,2,care.vice
stabbing,2,care.vice
rapist,2,care.vice
harasser,2,care.vice
hungers,2,care.vice
hunger,2,care.vice
molesting,2,care.vice
rape,2,care.vice
molesters,2,care.vice
punched,2,care.vice
violence,2,care.vice
distressingly,2,care.vice
molester,2,care.vice
stabbers,2,care.vice
neediness,2,care.vice
assassinate,2,care.vice
agonizingly,2,care.vice
tribulations,2,care.vice
unhelpfulness,2,care.vice
assaulter,2,care.vice
puncher,2,care.vice
punching,2,care.vice
rapes,2,care.vice
genocides,2,care.vice
attackers,2,care.vice
tormentor,2,care.vice
assassinations,2,care.vice
destroyers,2,care.vice
punchers,2,care.vice
sorrows,2,care.vice
tormenter,2,care.vice
threateningly,2,care.vice
murder,2,care.vice
destroyer,2,care.vice
assassinating,2,care.vice
crier,2,care.vice
assassinated,2,care.vice
molestation,2,care.vice
attacker,2,care.vice
murders,2,care.vice
genocide,2,care.vice
fighter,2,care.vice
assassins,2,care.vice
assaulters,2,care.vice
hungering,2,care.vice
achingly,2,care.vice
hungered,2,care.vice
murderess,2,care.vice
assassin,2,care.vice
exploits,2,care.vice
fighters,2,care.vice
assassination,2,care.vice
equality,3,fairness.virtue
fairness,3,fairness.virtue
justice,3,fairness.virtue
rights,3,fairness.virtue
equitable,3,fairness.virtue
civil rights,3,fairness.virtue
fairplay,3,fairness.virtue
impartiality,3,fairness.virtue
equal,3,fairness.virtue
fairminded,3,fairness.virtue
proportionality,3,fairness.virtue
equalities,3,fairness.virtue
fair,3,fairness.virtue
integrity,3,fairness.virtue
impartial,3,fairness.virtue
reciprocity,3,fairness.virtue
honesty,3,fairness.virtue
egalitarian,3,fairness.virtue
civil right,3,fairness.virtue
law,3,fairness.virtue
justness,3,fairness.virtue
unbias,3,fairness.virtue
egalitarians,3,fairness.virtue
parity,3,fairness.virtue
objectiveness,3,fairness.virtue
reparations,3,fairness.virtue
unprejudiced,3,fairness.virtue
justices,3,fairness.virtue
laws,3,fairness.virtue
tribunals,3,fairness.virtue
retribution,3,fairness.virtue
reparation,3,fairness.virtue
lawfully,3,fairness.virtue
lawful,3,fairness.virtue
honest,3,fairness.virtue
compensation,3,fairness.virtue
lawyers,3,fairness.virtue
sportsmanship,3,fairness.virtue
tribunal,3,fairness.virtue
do unto others,3,fairness.virtue
golden rule,3,fairness.virtue
lawyer,3,fairness.virtue
proportional,3,fairness.virtue
equity,3,fairness.virtue
lawyering,3,fairness.virtue
trust,3,fairness.virtue
reciprocal,3,fairness.virtue
being objective,3,fairness.virtue
justification,3,fairness.virtue
trustworthiness,3,fairness.virtue
unbiased,3,fairness.virtue
vengeance,3,fairness.virtue
revenge,3,fairness.virtue
retributions,3,fairness.virtue
equals,3,fairness.virtue
equalize,3,fairness.virtue
refereeing,3,fairness.virtue
restitution,3,fairness.virtue
compensating,3,fairness.virtue
been objective,3,fairness.virtue
pay back,3,fairness.virtue
justified,3,fairness.virtue
justifies,3,fairness.virtue
retaliation,3,fairness.virtue
lawyered,3,fairness.virtue
compensated,3,fairness.virtue
referees,3,fairness.virtue
karma,3,fairness.virtue
will share,3,fairness.virtue
avenger,3,fairness.virtue
trusting,3,fairness.virtue
avengers,3,fairness.virtue
square deal,3,fairness.virtue
trusts,3,fairness.virtue
compensate,3,fairness.virtue
trustworthy,3,fairness.virtue
