template,closeness_level,closeness_level_name,closeness_level_example_n,closeness_level_example_name,violation_catetory,violation_catetory_name,vignette,severity_level,violation_catetory_example_name,prompt,model,response,raw_response
1,1,stranger,1,a stranger to them,1,fraud,1,1,padding a travel expense by $20 on a small receipt,"Someone witnesses padding a travel expense by $20 on a small receipt, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",deepseek/deepseek-chat-v3.1,"{
  ""answer"": ""No"",
  ""reasoning"": ""Research in behavioral ethics and psychology suggests that in situations involving a minor ethical violation by a stranger with no direct personal consequence, most people choose not to report it. Factors include diffusion of responsibility, the perceived triviality of the amount, uncertainty about intent or context (e.g., a possible mistake), the social discomfort and effort of intervening, and the lack of a direct duty or relationship to the organization being defrauded.""
}","{'id': 'gen-1776646656-HUvjz7uqyA0S0HD3SCF4', 'object': 'chat.completion', 'created': 1776646656, 'model': 'deepseek/deepseek-chat-v3.1', 'provider': 'AtlasCloud', 'system_fingerprint': None, 'choices': [{'index': 0, 'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'message': {'role': 'assistant', 'content': '{\n  ""answer"": ""No"",\n  ""reasoning"": ""Research in behavioral ethics and psychology suggests that in situations involving a minor ethical violation by a stranger with no direct personal consequence, most people choose not to report it. Factors include diffusion of responsibility, the perceived triviality of the amount, uncertainty about intent or context (e.g., a possible mistake), the social discomfort and effort of intervening, and the lack of a direct duty or relationship to the organization being defrauded.""\n}', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 61, 'completion_tokens': 100, 'total_tokens': 161, 'cost': 0.0001133, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0001133, 'upstream_inference_prompt_cost': 1.83e-05, 'upstream_inference_completions_cost': 9.5e-05}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}}"
1,1,stranger,1,a stranger to them,1,fraud,1,2,padding a travel expense by $200 across multiple receipts,"Someone witnesses padding a travel expense by $200 across multiple receipts, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",deepseek/deepseek-chat-v3.1,"```json
{
  ""answer"": ""No"",
  ""reasoning"": ""While the act is unethical, people are generally less likely to report a stranger's minor fraud for several reasons: a stronger diffusion of responsibility ('someone else will report it'), the perceived hassle of reporting a stranger versus a colleague, lack of personal stake in the organization's losses, and potential discomfort with confrontation or getting involved in an unknown situation with no personal connection.""
}
```","{'id': 'gen-1776646656-tJU3ZdJcAtzliZC7qsz8', 'object': 'chat.completion', 'created': 1776646656, 'model': 'deepseek/deepseek-chat-v3.1', 'provider': 'SiliconFlow', 'system_fingerprint': None, 'choices': [{'index': 0, 'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'message': {'role': 'assistant', 'content': '```json\n{\n  ""answer"": ""No"",\n  ""reasoning"": ""While the act is unethical, people are generally less likely to report a stranger\'s minor fraud for several reasons: a stronger diffusion of responsibility (\'someone else will report it\'), the perceived hassle of reporting a stranger versus a colleague, lack of personal stake in the organization\'s losses, and potential discomfort with confrontation or getting involved in an unknown situation with no personal connection.""\n}\n```', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 63, 'completion_tokens': 91, 'total_tokens': 154, 'cost': 0.00010801, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.00010801, 'upstream_inference_prompt_cost': 1.701e-05, 'upstream_inference_completions_cost': 9.1e-05}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}}"
1,1,stranger,1,a stranger to them,1,fraud,1,3,"padding a quarterly travel report by $2,000 using altered invoices","Someone witnesses padding a quarterly travel report by $2,000 using altered invoices, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",deepseek/deepseek-chat-v3.1,"{""answer"": ""Yes"", ""reasoning"": ""Although the person is a stranger, most organizations have clear ethical guidelines and anonymous reporting mechanisms (like hotlines) that encourage employees to report fraudulent activity regardless of their relationship to the perpetrator. Padding an expense report with altered invoices is a clear case of fraud that costs the company money and violates trust. A witness has an ethical, and often a contractual, obligation to report such misconduct to protect the organization's integrity and financial health.""}","{'id': 'gen-1776646656-pinKEZkfflVdzutVAjsT', 'object': 'chat.completion', 'created': 1776646656, 'model': 'deepseek/deepseek-chat-v3.1', 'provider': 'Fireworks', 'system_fingerprint': None, 'choices': [{'index': 0, 'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'message': {'role': 'assistant', 'content': '{""answer"": ""Yes"", ""reasoning"": ""Although the person is a stranger, most organizations have clear ethical guidelines and anonymous reporting mechanisms (like hotlines) that encourage employees to report fraudulent activity regardless of their relationship to the perpetrator. Padding an expense report with altered invoices is a clear case of fraud that costs the company money and violates trust. A witness has an ethical, and often a contractual, obligation to report such misconduct to protect the organization\'s integrity and financial health.""}', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 64, 'completion_tokens': 98, 'total_tokens': 162, 'cost': 0.00019964, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 3, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.00019964, 'upstream_inference_prompt_cost': 3.5e-05, 'upstream_inference_completions_cost': 0.00016464}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}}"
1,1,stranger,1,a stranger to them,1,fraud,1,4,"padding a departmental travel budget by $20,000 with fabricated vendor slips","Someone witnesses padding a departmental travel budget by $20,000 with fabricated vendor slips, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",deepseek/deepseek-chat-v3.1,"```json
{
  ""answer"": ""Yes"",
  ""reasoning"": ""While reporting a stranger may involve fewer personal consequences than reporting a colleague, most ethical frameworks and whistleblower protection principles encourage reporting significant fraud (a $20,000 travel budget padding) regardless of the perpetrator's relationship to the witness. The act constitutes a serious misuse of organizational funds, and the duty to report is based on the wrongdoing itself, not the witness's familiarity with the wrongdoer. The primary barrier in this scenario is not a personal relationship but rather general hesitation about the reporting process or fear of potential, albeit less likely, retaliation.""
}
```","{'id': 'gen-1776646656-esKDNTkAWQRUuXxYyEfc', 'object': 'chat.completion', 'created': 1776646656, 'model': 'deepseek/deepseek-chat-v3.1', 'provider': 'SiliconFlow', 'system_fingerprint': None, 'choices': [{'index': 0, 'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'message': {'role': 'assistant', 'content': '```json\n{\n  ""answer"": ""Yes"",\n  ""reasoning"": ""While reporting a stranger may involve fewer personal consequences than reporting a colleague, most ethical frameworks and whistleblower protection principles encourage reporting significant fraud (a $20,000 travel budget padding) regardless of the perpetrator\'s relationship to the witness. The act constitutes a serious misuse of organizational funds, and the duty to report is based on the wrongdoing itself, not the witness\'s familiarity with the wrongdoer. The primary barrier in this scenario is not a personal relationship but rather general hesitation about the reporting process or fear of potential, albeit less likely, retaliation.""\n}\n```', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 67, 'completion_tokens': 128, 'total_tokens': 195, 'cost': 0.00014609, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.00014609, 'upstream_inference_prompt_cost': 1.809e-05, 'upstream_inference_completions_cost': 0.000128}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}}"
1,1,stranger,1,a stranger to them,1,fraud,2,1,requesting a refund for a $15 item while keeping the item,"Someone witnesses requesting a refund for a $15 item while keeping the item, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",deepseek/deepseek-chat-v3.1,"```json
{
  ""answer"": ""No"",
  ""reasoning"": ""The person is a stranger, and the witness has no personal connection or perceived responsibility to intervene. The financial loss to the business ($15) is relatively small, and the potential for a socially awkward confrontation is high. Most people would likely not report the incident, as the perceived cost of getting involved (time, effort, potential conflict) outweighs the perceived benefit of upholding a minor rule for a corporation.""
}
```","{'id': 'gen-1776646656-XMc5VXC5NMa2Zwy8vzRD', 'object': 'chat.completion', 'created': 1776646656, 'model': 'deepseek/deepseek-chat-v3.1', 'provider': 'Google', 'system_fingerprint': None, 'choices': [{'index': 0, 'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'message': {'role': 'assistant', 'content': '```json\n{\n  ""answer"": ""No"",\n  ""reasoning"": ""The person is a stranger, and the witness has no personal connection or perceived responsibility to intervene. The financial loss to the business ($15) is relatively small, and the potential for a socially awkward confrontation is high. Most people would likely not report the incident, as the perceived cost of getting involved (time, effort, potential conflict) outweighs the perceived benefit of upholding a minor rule for a corporation.""\n}\n```', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 65, 'completion_tokens': 101, 'total_tokens': 166, 'cost': 0.0002107, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0002107, 'upstream_inference_prompt_cost': 3.9e-05, 'upstream_inference_completions_cost': 0.0001717}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}}"
1,1,stranger,1,a stranger to them,1,fraud,2,2,requesting multiple refunds totaling $150 using duplicate claims,"Someone witnesses requesting multiple refunds totaling $150 using duplicate claims, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",deepseek/deepseek-chat-v3.1,"```json
{
  ""answer"": ""Yes"",
  ""reasoning"": ""Most people would report this because: 1) Witnessing deliberate fraud is a crime, and reporting protects the business from losses; 2) Even though the person is a stranger, there is a general ethical obligation to report wrongdoing; 3) Many people feel that allowing such behavior unfairly impacts honest customers through higher prices or stricter policies.""
}
```","{'id': 'gen-1776646656-Ug1cJHJqG0gvtIpgRlkc', 'object': 'chat.completion', 'created': 1776646656, 'model': 'deepseek/deepseek-chat-v3.1', 'provider': 'SiliconFlow', 'system_fingerprint': None, 'choices': [{'index': 0, 'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'message': {'role': 'assistant', 'content': '```json\n{\n  ""answer"": ""Yes"",\n  ""reasoning"": ""Most people would report this because: 1) Witnessing deliberate fraud is a crime, and reporting protects the business from losses; 2) Even though the person is a stranger, there is a general ethical obligation to report wrongdoing; 3) Many people feel that allowing such behavior unfairly impacts honest customers through higher prices or stricter policies.""\n}\n```', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 63, 'completion_tokens': 87, 'total_tokens': 150, 'cost': 0.00010401, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.00010401, 'upstream_inference_prompt_cost': 1.701e-05, 'upstream_inference_completions_cost': 8.7e-05}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}}"
1,1,stranger,1,a stranger to them,1,fraud,2,3,"requesting fraudulent refunds worth $1,500 through coordinated ticket submissions","Someone witnesses requesting fraudulent refunds worth $1,500 through coordinated ticket submissions, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",deepseek/deepseek-chat-v3.1,"```json
{
  ""answer"": ""Yes"",
  ""reasoning"": ""Most people would report witnessing fraudulent activity even if the perpetrator is a stranger, because: 1) Fraud is illegal and reporting it aligns with social responsibility and ethical norms. 2) The significant amount ($1,500) makes it a serious matter. 3) People generally wish to protect businesses from financial loss and maintain system integrity, regardless of their relationship to the offender. The lack of a personal connection may even make reporting feel less conflicted.""
}
```","{'id': 'gen-1776646656-emvBcmzBaVGpO077av00', 'object': 'chat.completion', 'created': 1776646656, 'model': 'deepseek/deepseek-chat-v3.1', 'provider': 'SiliconFlow', 'system_fingerprint': None, 'choices': [{'index': 0, 'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'message': {'role': 'assistant', 'content': '```json\n{\n  ""answer"": ""Yes"",\n  ""reasoning"": ""Most people would report witnessing fraudulent activity even if the perpetrator is a stranger, because: 1) Fraud is illegal and reporting it aligns with social responsibility and ethical norms. 2) The significant amount ($1,500) makes it a serious matter. 3) People generally wish to protect businesses from financial loss and maintain system integrity, regardless of their relationship to the offender. The lack of a personal connection may even make reporting feel less conflicted.""\n}\n```', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 66, 'completion_tokens': 110, 'total_tokens': 176, 'cost': 0.00012782, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.00012782, 'upstream_inference_prompt_cost': 1.782e-05, 'upstream_inference_completions_cost': 0.00011}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}}"
1,1,stranger,1,a stranger to them,1,fraud,2,4,"requesting large-scale fake refunds exceeding $15,000 via spoofed accounts","Someone witnesses requesting large-scale fake refunds exceeding $15,000 via spoofed accounts, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",deepseek/deepseek-chat-v3.1,"```json
{
  ""answer"": ""Yes"",
  ""reasoning"": ""People are generally likely to report large-scale fraudulent activity involving strangers because: (1) There is no personal relationship creating loyalty conflicts; (2) The high dollar amount ($15,000+) indicates serious criminal activity with significant victim impact; (3) Most people recognize their civic/moral obligation to report serious crimes; (4) Witnessing clear fraud often triggers ethical discomfort; (5) Many jurisdictions have whistleblower protections and reporting mechanisms that make reporting easier.""
}
```","{'id': 'gen-1776646656-xT0hVeZk8qtDRECLlQNQ', 'object': 'chat.completion', 'created': 1776646656, 'model': 'deepseek/deepseek-chat-v3.1', 'provider': 'SiliconFlow', 'system_fingerprint': None, 'choices': [{'index': 0, 'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'message': {'role': 'assistant', 'content': '```json\n{\n  ""answer"": ""Yes"",\n  ""reasoning"": ""People are generally likely to report large-scale fraudulent activity involving strangers because: (1) There is no personal relationship creating loyalty conflicts; (2) The high dollar amount ($15,000+) indicates serious criminal activity with significant victim impact; (3) Most people recognize their civic/moral obligation to report serious crimes; (4) Witnessing clear fraud often triggers ethical discomfort; (5) Many jurisdictions have whistleblower protections and reporting mechanisms that make reporting easier.""\n}\n```', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 69, 'completion_tokens': 111, 'total_tokens': 180, 'cost': 0.00012963, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.00012963, 'upstream_inference_prompt_cost': 1.863e-05, 'upstream_inference_completions_cost': 0.000111}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}}"
1,1,stranger,1,a stranger to them,1,fraud,3,1,putting a $30 personal meal on a shared company card,"Someone witnesses putting a $30 personal meal on a shared company card, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",deepseek/deepseek-chat-v3.1,"{
  ""answer"": ""Yes"",
  ""reasoning"": ""Using a company card for a personal expense, even if the person is a stranger, is a misuse of company funds and likely violates company policy. Witnessing such an action creates an ethical and possibly legal obligation to report it to protect the company from financial misconduct.""
}","{'id': 'gen-1776646658-1K1ChcnZKcBKboomlW46', 'object': 'chat.completion', 'created': 1776646658, 'model': 'deepseek/deepseek-chat-v3.1', 'provider': 'Together', 'system_fingerprint': None, 'choices': [{'index': 0, 'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'message': {'role': 'assistant', 'content': '{\n  ""answer"": ""Yes"",\n  ""reasoning"": ""Using a company card for a personal expense, even if the person is a stranger, is a misuse of company funds and likely violates company policy. Witnessing such an action creates an ethical and possibly legal obligation to report it to protect the company from financial misconduct.""\n}', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 62, 'completion_tokens': 68, 'total_tokens': 130, 'cost': 0.0001528, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0001528, 'upstream_inference_prompt_cost': 3.72e-05, 'upstream_inference_completions_cost': 0.0001156}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}}"
1,1,stranger,1,a stranger to them,1,fraud,3,2,charging $300 in personal purchases to a team card over a month,"Someone witnesses charging $300 in personal purchases to a team card over a month, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",deepseek/deepseek-chat-v3.1,"```json
{
  ""answer"": ""Yes"",
  ""reasoning"": ""Most employees are obligated by company policy and ethical guidelines to report misuse of company funds, regardless of whether the offender is known personally. Failing to report could be seen as complicit, could harm the organization, and may violate their own employment terms. The stranger’s identity does not reduce the responsibility to address the fraudulent activity.""
}
```","{'id': 'gen-1776646658-sW7Doe7IrM152zWuoxrN', 'object': 'chat.completion', 'created': 1776646658, 'model': 'deepseek/deepseek-chat-v3.1', 'provider': 'AtlasCloud', 'system_fingerprint': None, 'choices': [{'index': 0, 'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'message': {'role': 'assistant', 'content': '```json\n{\n  ""answer"": ""Yes"",\n  ""reasoning"": ""Most employees are obligated by company policy and ethical guidelines to report misuse of company funds, regardless of whether the offender is known personally. Failing to report could be seen as complicit, could harm the organization, and may violate their own employment terms. The stranger’s identity does not reduce the responsibility to address the fraudulent activity.""\n}\n```', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 63, 'completion_tokens': 86, 'total_tokens': 149, 'cost': 0.0001006, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0, 'audio_tokens': 0, 'video_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0001006, 'upstream_inference_prompt_cost': 1.89e-05, 'upstream_inference_completions_cost': 8.17e-05}, 'completion_tokens_details': {'reasoning_tokens': 0, 'image_tokens': 0, 'audio_tokens': 0}}}"
