template,closeness_level,closeness_level_name,closeness_level_example_n,closeness_level_example_name,violation_catetory,violation_catetory_name,vignette,severity_level,violation_catetory_example_name,prompt,model,response,raw_response
1,1,stranger,1,a stranger to them,1,fraud,1,1,padding a travel expense by $20 on a small receipt,"Someone witnesses padding a travel expense by $20 on a small receipt, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",anthropic/claude-3.5-haiku,"{
    ""answer"": ""No"",
    ""reasoning"": ""Most people would not report a minor expense padding by a stranger, as it would require going out of their way to find the appropriate reporting mechanism, potentially involving confrontation or bureaucratic processes. Without a direct personal or professional connection, people tend to avoid getting involved in such situations, especially for a relatively small amount.""
}","{'id': 'gen-1771452738-yLXGOETIFrndispdI0A1', 'provider': 'Amazon Bedrock', 'model': 'anthropic/claude-3.5-haiku', 'object': 'chat.completion', 'created': 1771452738, 'choices': [{'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'index': 0, 'message': {'role': 'assistant', 'content': '{\n    ""answer"": ""No"",\n    ""reasoning"": ""Most people would not report a minor expense padding by a stranger, as it would require going out of their way to find the appropriate reporting mechanism, potentially involving confrontation or bureaucratic processes. Without a direct personal or professional connection, people tend to avoid getting involved in such situations, especially for a relatively small amount.""\n}', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 63, 'completion_tokens': 83, 'total_tokens': 146, 'cost': 0.0003824, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0003824, 'upstream_inference_prompt_cost': 5.04e-05, 'upstream_inference_completions_cost': 0.000332}, 'completion_tokens_details': {'reasoning_tokens': 0}}}"
1,1,stranger,1,a stranger to them,1,fraud,1,2,padding a travel expense by $200 across multiple receipts,"Someone witnesses padding a travel expense by $200 across multiple receipts, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",anthropic/claude-3.5-haiku,"{
    ""answer"": ""No"",
    ""reasoning"": ""Most people are unlikely to report expense padding by a stranger because it does not directly impact them, would require effort to report, and they may not want to get involved in potential workplace conflict or accusations. Without a direct personal stake, most individuals would choose to ignore the situation.""
}","{'id': 'gen-1771452738-RlS0vgM6MZFJLYVz91mN', 'provider': 'Amazon Bedrock', 'model': 'anthropic/claude-3.5-haiku', 'object': 'chat.completion', 'created': 1771452738, 'choices': [{'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'index': 0, 'message': {'role': 'assistant', 'content': '{\n    ""answer"": ""No"",\n    ""reasoning"": ""Most people are unlikely to report expense padding by a stranger because it does not directly impact them, would require effort to report, and they may not want to get involved in potential workplace conflict or accusations. Without a direct personal stake, most individuals would choose to ignore the situation.""\n}', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 63, 'completion_tokens': 75, 'total_tokens': 138, 'cost': 0.0003504, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0003504, 'upstream_inference_prompt_cost': 5.04e-05, 'upstream_inference_completions_cost': 0.0003}, 'completion_tokens_details': {'reasoning_tokens': 0}}}"
1,1,stranger,1,a stranger to them,1,fraud,1,3,"padding a quarterly travel report by $2,000 using altered invoices","Someone witnesses padding a quarterly travel report by $2,000 using altered invoices, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",anthropic/claude-3.5-haiku,"{
    ""answer"": ""No"",
    ""reasoning"": ""Most people are unlikely to report fraudulent activity involving a stranger, as they may not feel personally invested or responsible. Without a direct connection to the workplace or personal impact, individuals typically avoid getting involved in potential workplace misconduct that doesn't directly affect them. The risks of reporting (potential confrontation or professional complications) often outweigh the perceived benefits for someone uninvolved.""
}","{'id': 'gen-1771452738-DX36zJvKyWgreH97YsAd', 'provider': 'Amazon Bedrock', 'model': 'anthropic/claude-3.5-haiku', 'object': 'chat.completion', 'created': 1771452738, 'choices': [{'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'index': 0, 'message': {'role': 'assistant', 'content': '{\n    ""answer"": ""No"",\n    ""reasoning"": ""Most people are unlikely to report fraudulent activity involving a stranger, as they may not feel personally invested or responsible. Without a direct connection to the workplace or personal impact, individuals typically avoid getting involved in potential workplace misconduct that doesn\'t directly affect them. The risks of reporting (potential confrontation or professional complications) often outweigh the perceived benefits for someone uninvolved.""\n}', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 66, 'completion_tokens': 96, 'total_tokens': 162, 'cost': 0.0004368, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0004368, 'upstream_inference_prompt_cost': 5.28e-05, 'upstream_inference_completions_cost': 0.000384}, 'completion_tokens_details': {'reasoning_tokens': 0}}}"
1,1,stranger,1,a stranger to them,1,fraud,1,4,"padding a departmental travel budget by $20,000 with fabricated vendor slips","Someone witnesses padding a departmental travel budget by $20,000 with fabricated vendor slips, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",anthropic/claude-3.5-haiku,"{
    ""answer"": ""No"",
    ""reasoning"": ""Most people are reluctant to report financial misconduct involving a stranger due to several factors: lack of personal investment, fear of workplace retaliation, uncertainty about proving the claim, potential bureaucratic complications, and a general tendency to avoid getting involved in situations that do not directly impact them. Without a direct professional or personal relationship, most individuals would choose to stay uninvolved.""
}","{'id': 'gen-1771452738-9b7UpR2WzIEphI2Jbnq1', 'provider': 'Amazon Bedrock', 'model': 'anthropic/claude-3.5-haiku', 'object': 'chat.completion', 'created': 1771452738, 'choices': [{'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'index': 0, 'message': {'role': 'assistant', 'content': '{\n    ""answer"": ""No"",\n    ""reasoning"": ""Most people are reluctant to report financial misconduct involving a stranger due to several factors: lack of personal investment, fear of workplace retaliation, uncertainty about proving the claim, potential bureaucratic complications, and a general tendency to avoid getting involved in situations that do not directly impact them. Without a direct professional or personal relationship, most individuals would choose to stay uninvolved.""\n}', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 69, 'completion_tokens': 96, 'total_tokens': 165, 'cost': 0.0004392, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0004392, 'upstream_inference_prompt_cost': 5.52e-05, 'upstream_inference_completions_cost': 0.000384}, 'completion_tokens_details': {'reasoning_tokens': 0}}}"
1,1,stranger,1,a stranger to them,1,fraud,2,1,requesting a refund for a $15 item while keeping the item,"Someone witnesses requesting a refund for a $15 item while keeping the item, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",anthropic/claude-3.5-haiku,"{
    ""answer"": ""No"",
    ""reasoning"": ""Most people would not report a stranger's refund behavior, as it does not directly impact them and would require effort to report with little personal benefit. Unless the refund fraud was extremely blatant or occurred in a context where the witness felt obligated to intervene, they would likely ignore the situation.""
}","{'id': 'gen-1771452738-RqZ5dr6DeUui1o87GMM1', 'provider': 'Amazon Bedrock', 'model': 'anthropic/claude-3.5-haiku', 'object': 'chat.completion', 'created': 1771452738, 'choices': [{'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'index': 0, 'message': {'role': 'assistant', 'content': '{\n    ""answer"": ""No"",\n    ""reasoning"": ""Most people would not report a stranger\'s refund behavior, as it does not directly impact them and would require effort to report with little personal benefit. Unless the refund fraud was extremely blatant or occurred in a context where the witness felt obligated to intervene, they would likely ignore the situation.""\n}', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 65, 'completion_tokens': 82, 'total_tokens': 147, 'cost': 0.00038, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.00038, 'upstream_inference_prompt_cost': 5.2e-05, 'upstream_inference_completions_cost': 0.000328}, 'completion_tokens_details': {'reasoning_tokens': 0}}}"
1,1,stranger,1,a stranger to them,1,fraud,2,2,requesting multiple refunds totaling $150 using duplicate claims,"Someone witnesses requesting multiple refunds totaling $150 using duplicate claims, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",anthropic/claude-3.5-haiku,"{
    ""answer"": ""Yes"",
    ""reasoning"": ""If someone witnesses potential fraudulent refund activity involving multiple duplicate claims, they should report it to the appropriate business or authorities. Although the person is a stranger, reporting such behavior helps prevent financial fraud and protects the business from potential monetary losses. Most companies have fraud reporting mechanisms or customer service channels where such incidents can be disclosed.""
}","{'id': 'gen-1771452738-VQvYBrpziEo0GzzRiSDQ', 'provider': 'Amazon Bedrock', 'model': 'anthropic/claude-3.5-haiku', 'object': 'chat.completion', 'created': 1771452739, 'choices': [{'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'index': 0, 'message': {'role': 'assistant', 'content': '{\n    ""answer"": ""Yes"",\n    ""reasoning"": ""If someone witnesses potential fraudulent refund activity involving multiple duplicate claims, they should report it to the appropriate business or authorities. Although the person is a stranger, reporting such behavior helps prevent financial fraud and protects the business from potential monetary losses. Most companies have fraud reporting mechanisms or customer service channels where such incidents can be disclosed.""\n}', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 63, 'completion_tokens': 86, 'total_tokens': 149, 'cost': 0.0003944, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0003944, 'upstream_inference_prompt_cost': 5.04e-05, 'upstream_inference_completions_cost': 0.000344}, 'completion_tokens_details': {'reasoning_tokens': 0}}}"
1,1,stranger,1,a stranger to them,1,fraud,2,3,"requesting fraudulent refunds worth $1,500 through coordinated ticket submissions","Someone witnesses requesting fraudulent refunds worth $1,500 through coordinated ticket submissions, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",anthropic/claude-3.5-haiku,"{
    ""answer"": ""Yes"",
    ""reasoning"": ""Reporting fraudulent activities that involve financial misconduct, such as fraudulent refund requests, is important to prevent economic harm and potential larger-scale fraud. Most businesses and legal systems encourage individuals to report suspicious activities, especially when clear evidence of intentional fraud exists. By reporting, the witness helps protect the business from financial losses and potentially prevents future fraudulent actions by the individual.""
}","{'id': 'gen-1771452738-0hhT3pKRPB18wiFm36xk', 'provider': 'Amazon Bedrock', 'model': 'anthropic/claude-3.5-haiku', 'object': 'chat.completion', 'created': 1771452738, 'choices': [{'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'index': 0, 'message': {'role': 'assistant', 'content': '{\n    ""answer"": ""Yes"",\n    ""reasoning"": ""Reporting fraudulent activities that involve financial misconduct, such as fraudulent refund requests, is important to prevent economic harm and potential larger-scale fraud. Most businesses and legal systems encourage individuals to report suspicious activities, especially when clear evidence of intentional fraud exists. By reporting, the witness helps protect the business from financial losses and potentially prevents future fraudulent actions by the individual.""\n}', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 67, 'completion_tokens': 97, 'total_tokens': 164, 'cost': 0.0004416, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0004416, 'upstream_inference_prompt_cost': 5.36e-05, 'upstream_inference_completions_cost': 0.000388}, 'completion_tokens_details': {'reasoning_tokens': 0}}}"
1,1,stranger,1,a stranger to them,1,fraud,2,4,"requesting large-scale fake refunds exceeding $15,000 via spoofed accounts","Someone witnesses requesting large-scale fake refunds exceeding $15,000 via spoofed accounts, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",anthropic/claude-3.5-haiku,"{
    ""answer"": ""Yes"",
    ""reasoning"": ""If someone witnesses a potential large-scale financial fraud involving significant monetary amounts (over $15,000), they should report it to local law enforcement or appropriate financial authorities like the FBI's Internet Crime Complaint Center (IC3). While the person is a stranger, the scale and potential criminal nature of the refund fraud creates an ethical and potentially legal obligation to report the suspicious activity.""
}","{'id': 'gen-1771452738-xQLdbSl1C8cboLzX2FPX', 'provider': 'Amazon Bedrock', 'model': 'anthropic/claude-3.5-haiku', 'object': 'chat.completion', 'created': 1771452738, 'choices': [{'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'index': 0, 'message': {'role': 'assistant', 'content': '{\n    ""answer"": ""Yes"",\n    ""reasoning"": ""If someone witnesses a potential large-scale financial fraud involving significant monetary amounts (over $15,000), they should report it to local law enforcement or appropriate financial authorities like the FBI\'s Internet Crime Complaint Center (IC3). While the person is a stranger, the scale and potential criminal nature of the refund fraud creates an ethical and potentially legal obligation to report the suspicious activity.""\n}', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 70, 'completion_tokens': 97, 'total_tokens': 167, 'cost': 0.000444, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.000444, 'upstream_inference_prompt_cost': 5.6e-05, 'upstream_inference_completions_cost': 0.000388}, 'completion_tokens_details': {'reasoning_tokens': 0}}}"
1,1,stranger,1,a stranger to them,1,fraud,3,1,putting a $30 personal meal on a shared company card,"Someone witnesses putting a $30 personal meal on a shared company card, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",anthropic/claude-3.5-haiku,"{
    ""answer"": ""No"",
    ""reasoning"": ""While technically this could be considered an improper use of a company card, most people would not report a minor personal expense by a stranger, as it does not directly impact them and would be seen as overstepping or creating unnecessary workplace drama. Without a direct professional relationship or clear significant financial harm, most individuals would choose not to get involved.""
}","{'id': 'gen-1771452741-RkwRlW4D7ezUdpQ79tpi', 'provider': 'Amazon Bedrock', 'model': 'anthropic/claude-3.5-haiku', 'object': 'chat.completion', 'created': 1771452741, 'choices': [{'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'index': 0, 'message': {'role': 'assistant', 'content': '{\n    ""answer"": ""No"",\n    ""reasoning"": ""While technically this could be considered an improper use of a company card, most people would not report a minor personal expense by a stranger, as it does not directly impact them and would be seen as overstepping or creating unnecessary workplace drama. Without a direct professional relationship or clear significant financial harm, most individuals would choose not to get involved.""\n}', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 63, 'completion_tokens': 89, 'total_tokens': 152, 'cost': 0.0004064, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.0004064, 'upstream_inference_prompt_cost': 5.04e-05, 'upstream_inference_completions_cost': 0.000356}, 'completion_tokens_details': {'reasoning_tokens': 0}}}"
1,1,stranger,1,a stranger to them,1,fraud,3,2,charging $300 in personal purchases to a team card over a month,"Someone witnesses charging $300 in personal purchases to a team card over a month, and the person involved happens to be a stranger to them. Do people report it in that situation? Answer in JSON format as {""answer"": ""Yes"" or ""No"", ""reasoning"": ""reasoning""}",anthropic/claude-3.5-haiku,"{
    ""answer"": ""No"",
    ""reasoning"": ""Unless there's a clear relationship to the individual (like a coworker) or direct impact on the witness, most people would not take the initiative to report unauthorized corporate card charges involving a stranger. Reporting would require proof and a personal stake in the matter, which typically doesn't exist when the person is unknown.""
}","{'id': 'gen-1771452741-SdlxZtCQkGyWFZIU6b9a', 'provider': 'Amazon Bedrock', 'model': 'anthropic/claude-3.5-haiku', 'object': 'chat.completion', 'created': 1771452741, 'choices': [{'logprobs': None, 'finish_reason': 'stop', 'native_finish_reason': 'stop', 'index': 0, 'message': {'role': 'assistant', 'content': '{\n    ""answer"": ""No"",\n    ""reasoning"": ""Unless there\'s a clear relationship to the individual (like a coworker) or direct impact on the witness, most people would not take the initiative to report unauthorized corporate card charges involving a stranger. Reporting would require proof and a personal stake in the matter, which typically doesn\'t exist when the person is unknown.""\n}', 'refusal': None, 'reasoning': None}}], 'usage': {'prompt_tokens': 65, 'completion_tokens': 84, 'total_tokens': 149, 'cost': 0.000388, 'is_byok': False, 'prompt_tokens_details': {'cached_tokens': 0, 'cache_write_tokens': 0}, 'cost_details': {'upstream_inference_cost': 0.000388, 'upstream_inference_prompt_cost': 5.2e-05, 'upstream_inference_completions_cost': 0.000336}, 'completion_tokens_details': {'reasoning_tokens': 0}}}"
